ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Gemeente Cuijk; Cuijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Culemborg; Culemborg; art. 1.2.1.c. gemeenten; BZK
Gemeente Dalfsen; Dalfsen; art. 1.2.1.c. gemeenten; BZK
Gemeente Dantumadiel; Damwâld; art. 1.2.1.c. gemeenten; BZK
Gemeente De Bilt; Bilthoven; art. 1.2.1.c. gemeenten; BZK
Gemeente De Fryske Marren; Joure; art. 1.2.1.c. gemeenten; BZK
Gemeente De Ronde Venen; Mijdrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente De Wolden; Zuidwolde; art. 1.2.1.c. gemeenten; BZK
Gemeente Delft; Delft; art. 1.2.1.c. gemeenten; BZK
Gemeente Delfzijl; Delfzijl; art. 1.2.1.c. gemeenten; BZK
Gemeente Den Haag; 's-Gravenhage; art. 1.2.1.c. gemeenten; BZK
Gemeente Den Helder; Den Helder; art. 1.2.1.c. gemeenten; BZK
Gemeente Deurne; Deurne; art. 1.2.1.c. gemeenten; BZK
Gemeente Deventer; Deventer; art. 1.2.1.c. gemeenten; BZK
Gemeente Diemen; Diemen; art. 1.2.1.c. gemeenten; BZK
Gemeente Dijk en Waard; Heerhugowaard; art. 1.2.1.c. gemeenten; BZK
Gemeente Dinkelland; Denekamp; art. 1.2.1.c. gemeenten; BZK
Gemeente Doesburg; Doesburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Doetinchem; Doetinchem; art. 1.2.1.c. gemeenten; BZK
Gemeente Dongen; Dongen; art. 1.2.1.c. gemeenten; BZK
Gemeente Dordrecht; Dordrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Drechterland; Hoogkarspel; art. 1.2.1.c. gemeenten; BZK
Gemeente Drimmelen; Made; art. 1.2.1.c. gemeenten; BZK
Gemeente Dronten; Dronten; art. 1.2.1.c. gemeenten; BZK
Gemeente Druten; Druten; art. 1.2.1.c. gemeenten; BZK
Gemeente Duiven; Duiven; art. 1.2.1.c. gemeenten; BZK
Gemeente Echt-Susteren; Echt; art. 1.2.1.c. gemeenten; BZK
Gemeente Edam-Volendam; Volendam; art. 1.2.1.c. gemeenten; BZK
Gemeente Ede; Ede; art. 1.2.1.c. gemeenten; BZK
Gemeente Eemnes; Eemnes; art. 1.2.1.c. gemeenten; BZK
Gemeente Eersel; Eersel; art. 1.2.1.c. gemeenten; BZK
Gemeente Eijsden-Margraten; Margraten; art. 1.2.1.c. gemeenten; BZK
Gemeente Eindhoven; Eindhoven; art. 1.2.1.c. gemeenten; BZK
Gemeente Elburg; Elburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Emmen; Emmen; art. 1.2.1.c. gemeenten; BZK
Gemeente Enkhuizen; Enkhuizen; art. 1.2.1.c. gemeenten; BZK
Gemeente Enschede; Enschede; art. 1.2.1.c. gemeenten; BZK
Gemeente Epe; Epe; art. 1.2.1.c. gemeenten; BZK
Gemeente Ermelo; Ermelo; art. 1.2.1.c. gemeenten; BZK
