ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Stichting Theater aan de Hobbemastraat; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Theater Bellevue; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Theater Dakota; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting 'Theater De Schalm'; Veldhoven; art. 1.3.1.c. subsidie; BZK
Stichting Theater Delft; Delft; art. 1.3.1.c. subsidie; BZK
Stichting Theater en Congrescentrum Hanzehof; Zutphen; art. 1.3.1.c. subsidie; BZK
Stichting Theater Groep Kwatta; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Theater Kikker; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Theater Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Theater Zoetermeer; Zoetermeer; art. 1.3.1.c. subsidie; BZK
Stichting Theater Zuidplein; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Theaters Diligentia en PePijn; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Theaters Tilburg; Tilburg; art. 1.3.1.b. invloed; BZK
Stichting Theek 5; Oosterhout; art. 1.3.1.c. subsidie; BZK
Stichting Thuis Op Straat Leiden; Leiden; art. 1.3.1.c. subsidie; BZK
Stichting Timpaan Welzijn; Gorredijk; art. 1.3.1.c. subsidie; BZK
Stichting Tinten Groep; Gieten; art. 1.3.1.c. subsidie; BZK
Stichting TKI Agri&Food; Wageningen; art. 1.3.1.c. subsidie; EZK
Stichting TKI Biobased Economy; Wageningen; art. 1.3.1.c. subsidie; EZK
Stichting TKI Chemie; 's-Gravenhage; art. 1.3.1.c. subsidie; EZK
Stichting TKI CLICKNL; Eindhoven; art. 1.3.1.c. subsidie; EZK
Stichting TKI- Deltatechnologie; 's-Gravenhage; art. 1.3.1.c. subsidie; EZK
Stichting TKI Energie en Industrie; Amersfoort; art. 1.3.1.c. subsidie; EZK
Stichting TKI HTSM; Utrecht; art. 1.3.1.c. subsidie; EZK
Stichting TKI Logistiek; Breda; art. 1.3.1.c. subsidie; EZK
Stichting TKI Urban Energy; Utrecht; art. 1.3.1.c. subsidie; EZK
Stichting TKI-Energie; Amersfoort; art. 1.3.1.c. subsidie; EZK
Stichting TKI-Wind op Zee; Utrecht; art. 1.3.1.c. subsidie; EZK
Stichting Toegepast Onderzoek Waterbeheer; Amersfoort; art. 1.3.1.b. invloed; BZK
Stichting Topconsortium for Knowledge and Innovation Watertechnology; Utrecht; art. 1.3.1.c. subsidie; EZK
Stichting Topconsortium Kennis en Innovatie Tuinbouw & Uitgangsmaterialen; Gouda; art. 1.3.1.c. subsidie; EZK
Stichting Topconsortium voor Kennis en Innovatie (TKI) Maritiem; Rotterdam; art. 1.3.1.c. subsidie; EZK
Stichting Topsport Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Topsport Noord; Heerenveen; art. 1.3.1.c. subsidie; BZK
Stichting Torion; Haren Gn; art. 1.3.1.c. subsidie; BZK
Stichting tot Beheer Museum Boijmans Van Beuningen Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting tot Beheer van het Sint-Paulus Gasthuis; Sint-Oedenrode; art. 1.3.1.b. invloed; BZK
Stichting tot Bevordering van de Uitvoer; 's-Gravenhage; art. 1.3.1.b. invloed; EZK
Stichting tot Instandhouding van het Noorder Dierenpark in Emmen; Emmen; art. 1.3.1.c. subsidie; BZK
Stichting tot Instandhouding van Molens in de Alblasserwaard en de Vijfheerenlanden; Streefkerk; art. 1.3.1.b. invloed; BZK
Stichting tot Oprichting en Instandhouding van een Dorpscentrum; Biggekerke; art. 1.3.1.b. invloed; BZK
Stichting Trajekt; Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Travers Welzijn; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting Triade Centrum voor Kunsteducatie Den Helder e.o.; Den Helder; art. 1.3.1.c. subsidie; BZK
Stichting TRIAS, Centrum voor de Kunsten; Rijswijk; art. 1.3.1.c. subsidie; BZK
Stichting United Work; Eindhoven; bijlagen WNT; BZ
Stichting Urgentieverlening West-Utrecht; Woerden; art. 1.3.1.c. subsidie; BZK
Stichting Utrecht Marketing; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting van Houten&co; Houten; art. 1.3.1.c. subsidie; BZK
Stichting Veen; Den Haag; art. 1.3.1.b. invloed; BZK
Stichting Veldhovense Muziekschool; Veldhoven; art. 1.3.1.c. subsidie; BZK
Stichting Veren Gelderland; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Verenigingsbureau Publieke Gezondheid en Veiligheid Nederland; Utrecht; art. 1.3.1.b. invloed; BZK
Stichting Verkeersonderneming; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Versa Welzijn; Hilversum; art. 1.3.1.c. subsidie; BZK
Stichting Verslavingsreclassering GGZ; Utrecht; bijlagen WNT; JenV
Stichting ViaVie Welzijn; Holten; art. 1.3.1.c. subsidie; BZK
Stichting Visit Oirschot; Oirschot; art. 1.3.1.b. invloed; BZK
Stichting Visitatie Woningcorporaties Nederland; Utrecht; art. 1.3.1.a. openbaar gezag; BZK
Stichting Vitis Welzijn; Hoek van Holland; art. 1.3.1.c. subsidie; BZK
Stichting Vivera Welzijn & Dienstverlening; Zwijndrecht; art. 1.3.1.c. subsidie; BZK
Stichting Vlaardingen in Beweging; Vlaardingen; art. 1.3.1.c. subsidie; BZK
Stichting Vlechter!; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting VluchtelingenWerk Noord-Nederland; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting VluchtelingenWerk Oost-Nederland; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting VluchtelingenWerk West en Midden-Nederland; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting VluchtelingenWerk Zuid-Nederland; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting VluchtelingenWerk Zuidwest-Nederland; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Voedingscentrum Nederland; 's-Gravenhage; art. 1.3.1.c. subsidie; LNV
Stichting voor het Beheer van de Accomodatie Muziekgebouw/Bimhuis; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting voor Kennis en Sociale Cohesie; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting VÓÓR Welzijn; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting voor Welzijn, Zorg, Sociaal en Cultureel Werk Beuningen; Beuningen Gld; art. 1.3.1.c. subsidie; BZK
Stichting Voorbereiding Pallas-reactor; Alkmaar; art. 1.3.1.b. invloed; VWS
Stichting Voorzieningsfonds van de Koninklijke Notariele Beroepsorganisatie; 's-Gravenhage; art. 1.3.1.b. invloed; JenV
Stichting Vorkmeer; Panningen; art. 1.3.1.c. subsidie; BZK
Stichting Vredesbeweging Pax Nederland; Utrecht; bijlagen WNT; BZ
Stichting Vrienden van de Mussen; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting VRIJDAG; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Vrije Akademie Zuid-Oostelijke Mijnstreek; Kerkrade; art. 1.3.1.c. subsidie; BZK
Stichting Vrijwillige Hulpdienst Eindhoven (VHD); Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting Vrijwilligers en Mantelzorg Centrale Almere; Almere; art. 1.3.1.c. subsidie; BZK
Stichting Vrijwilligerscentrale Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Vrijwilligerscentrale Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Vrijwilligerscentrale Zwolle Doet!; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting VvE-010; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting VVV Texel Promotie; Den Burg; art. 1.3.1.b. invloed; BZK
Stichting VVV Zeeland; Wemeldinge; art. 1.3.1.c. subsidie; BZK
Stichting Waarborgfonds Eigen Woningen; Zoetermeer; bijlagen WNT; BZK
Stichting Waarborgfonds Motorverkeer; Rijswijk; bijlagen WNT; Financiën
Stichting Waarborgfonds Sociale Woningbouw; Hilversum; bijlagen WNT; BZK
Stichting Waardevol Cultuurlandschap Midden-Limburg (Ons Wcl); Roermond; art. 1.3.1.b. invloed; BZK
Stichting Waardevol Cultuurlandschap Winterswijk; Winterswijk; art. 1.3.1.b. invloed; BZK
Stichting Waddenacademie; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting Wageningen Research; Wageningen; bijlagen WNT; LNV
Stichting Wandelnet; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Water Alliance; Leeuwarden; art. 1.3.1.b. invloed; BZK
Stichting Waternet; Amsterdam; bijlagen WNT; IenW
Stichting Waterproef; Edam; art. 1.3.1.b. invloed; BZK
Stichting Weerribben-Wieden; Wanneperveen; art. 1.3.1.b. invloed; BZK
Stichting Weerwerk Groningen; Meerstad; art. 1.3.1.c. subsidie; BZK
Stichting Wel.kom - Roermond; Roermond; art. 1.3.1.c. subsidie; BZK
Stichting Wel.kom - Venlo/Beesel; Roermond; art. 1.3.1.c. subsidie; BZK
Stichting Welnúh (Welzijn Utrechtse Heuvelrug); Doorn; art. 1.3.1.c. subsidie; BZK
Stichting Welsun Landgraaf; Landgraaf; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn; Beverwijk; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Alblasserdam; Alblasserdam; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Baarn; Baarn; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Barneveld; Barneveld; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Bergen; Schoorl; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Brummen; Eerbeek; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn De Wolden; Zuidwolde; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Diemen; Diemen; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Ermelo; Ermelo; art. 1.3.1.b. invloed; BZK
Stichting Welzijn Gorinchem; Gorinchem; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Heerlen (verkorte naam: Alcander); Heerlen; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Hoeksche Waard; Oud-Beijerland; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn in Noordenveld; Roden; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Lelystad; Lelystad; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn MensenWerk; Meppel; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Middelburg; Middelburg; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Noord; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Oud & Jong; Voorburg; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Ouderen Arnhem; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Ouderen S.W.O.; Spijkenisse; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Ouderen Soest; Soest; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Rijswijk; Rijswijk; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Scheveningen; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Senioren Lansingerland; Bergschenhoek; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Stichtse Vecht; Maarssen; art. 1.3.1.c. subsidie; BZK
Stichting Welzijn Teylingen; Sassenheim; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnskwartier; Katwijk; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnsorganisatie Andes; Borger; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnsorganisatie Impuls; Gieten; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnsorganisatie Welstad; Stadskanaal; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnswerk; Hoogeveen; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnswerk Midden-Drenthe; Beilen; art. 1.3.1.c. subsidie; BZK
Stichting Welzijnswerk Sliedrecht; Sliedrecht; art. 1.3.1.c. subsidie; BZK
Stichting Welzin; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Wereldmuseum Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Werken in Gelderland; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Werken in Losser; Losser; art. 1.3.1.b. invloed; BZK
Stichting werkgelegenheidsinitiatieven De Wolden; Zuidwolde; art. 1.3.1.b. invloed; BZK
Stichting Werkgever Sportclubs Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
stichting Werkprojecten Oldenzaal; Oldenzaal; art. 1.3.1.b. invloed; BZK
Stichting Werkzaak Plus; Geldermalsen; art. 1.3.1.b. invloed; BZK
Stichting Westfriese Bibliotheken; Bovenkarspel; art. 1.3.1.c. subsidie; BZK
Stichting Westland Cultuurweb; Naaldwijk; art. 1.3.1.c. subsidie; BZK
Stichting WestlandTheater de Naald; Naaldwijk; art. 1.3.1.c. subsidie; BZK
Stichting Wetenschappelijk onderwijs en onderzoek NLDA; Breda; art. 1.3.1.b. invloed; Defensie
Stichting Wetenschappelijk Onderzoek Verkeersveiligheid Swov; 's-Gravenhage; art. 1.3.1.c. subsidie; IenW
Stichting Wetsus Intellectual Property Foundation; Leeuwarden; art. 1.3.1.c. subsidie; IenW
Stichting WIJ; Breda; art. 1.3.1.c. subsidie; BZK
Stichting Wijkcentrum De Pijp; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Wijkwerk; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Wijsneus; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Wonen boven Winkels Utrecht; Utrecht; art. 1.3.1.b. invloed; BZK
Stichting Woon; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Woonbedrijf Aardbevingsgebied Groningen; Groningen; art. 1.3.1.b. invloed; BZK
Stichting World Class Maintenance; Breda; art. 1.3.1.c. subsidie; BZK
Stichting Xtra; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Xtra plus; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting YES!Delft Students; Delft; art. 1.3.1.c. subsidie; BZK
Stichting Zaans Museum; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting Zaans Natuur & Milieu Centrum; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting Zaantheater; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting ZB - Planbureau en Bibliotheek van Zeeland; Middelburg; art. 1.3.1.c. subsidie; BZK
Stichting Zebra; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Zelfstandige Publieke Werkgevers; Utrecht; art. 1.3.1.b. invloed; BZK
Stichting Zet Brabant; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Ziektekostenverzekering Krijgsmacht (Szvk); 's-Gravenhage; art. 1.3.1.b. invloed; Defensie
Stichting Zimihc; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Zorgbelang Brabant; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Zorgbelang Inclusief; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting ZorgDat; Harderwijk; art. 1.3.1.c. subsidie; BZK
Stichting ZorgpleinNoord; Haren Gn; art. 1.3.1.c. subsidie; BZK
Stichting ZorgSaamTwenterand; Vroomshoop; art. 1.3.1.c. subsidie; BZK
Stichting Zwem- en Recreatiebad De Kulk; Vlaardingen; art. 1.3.1.b. invloed; BZK
Stichting Zwem- en Sportaccommodaties Doorn; Doorn; art. 1.3.1.b. invloed; BZK
Stichting Zwembad de IJzeren Man; Weert; art. 1.3.1.b. invloed; BZK
Stichting Zwembad Noord-Oost; Apeldoorn; art. 1.3.1.c. subsidie; BZK
Stichting Zwembaden Gemeente Tynaarlo; Zuidlaren; art. 1.3.1.c. subsidie; BZK
Stichting Zwembaden Hoorn; Hoorn; art. 1.3.1.c. subsidie; BZK
Stichting Zwembaden Zwartewaterland; Zwartsluis; art. 1.3.1.c. subsidie; BZK
StichtingHero kindercentra; Haarlem; art. 1.3.1.c. subsidie; BZK
Streekarchief Langstraat Heusden Altena; Heusden; art. 1.2.1.h. WGR; BZK
Streekarchief Midden-Holland; Gouda; art. 1.2.1.h. WGR; BZK
Streekarchief Voorne-Putten; Brielle; art. 1.2.1.h. WGR; BZK
Streekarchivariaat de Liemers en Doesburg; Zevenaar; art. 1.2.1.h. WGR; BZK
Stroomopwaarts MVS; Schiedam; art. 1.2.1.h. WGR; BZK
SWB Midden Twente; Hengelo; art. 1.2.1.h. WGR; BZK
SWW Welzijn B.V.; Winterswijk; art. 1.3.1.c. subsidie; BZK
Syntrophos; Spijkenisse; art. 1.2.1.h. WGR; BZK
Tribuut Belastingsamenwerking; Epe; art. 1.2.1.h. WGR; BZK
Uitvoeringsinstituut werknemersverzekeringen (UWV); Amsterdam; art. 1.2.1.h. ZBO; SZW
Uitvoeringsorganisatie Baanbrekers; Waalwijk; art. 1.2.1.h. WGR; BZK
Uitvoeringsorganisatie Breedbandnetwerk Rivierenland (UBR); Tiel; art. 1.2.1.h. WGR; BZK
Uitvoeringsorganisatie Jeugdzorg IJsselland; Zwolle; art. 1.2.1.h. WGR; BZK
Unie van Waterschappen; 's-Gravenhage; art. 1.2.1.d. waterschappen; BZK
UW Holding B.V.; Utrecht; art. 1.2.1.h. WGR; BZK
Veilig Verkeer Nederland; Amersfoort; art. 1.3.1.c. subsidie; IenW
Veiligheids- en Gezondheidsregio Gelderland-Midden (VGGM); Arnhem; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Amsterdam-Amstelland; Amsterdam; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Brabant-Zuidoost; Eindhoven; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Drenthe; Assen; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Flevoland; Lelystad; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Fryslân; Leeuwarden; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Gelderland-Zuid; Nijmegen; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Gooi- en Vechtstreek; Hilversum; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Haaglanden; 's-Gravenhage; art. 1.2.1.h. WGR; BZK
Veiligheidsregio IJsselland; Zwolle; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Kennemerland; Haarlem; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Limburg-Noord; Venlo; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Midden- en West-Brabant; Tilburg; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Noord- en Oost Gelderland; Apeldoorn; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Noord Holland Noord; Alkmaar; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Rotterdam-Rijnmond; Rotterdam; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Twente; Enschede; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Utrecht; Utrecht; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Zaanstreek-Waterland; Zaandam; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Zuid-Holland Zuid; Dordrecht; art. 1.2.1.h. WGR; BZK
Veiligheidsregio Zuid-Limburg; Margraten; art. 1.2.1.h. WGR; BZK
Vereniging Afvalsamenwerking Limburg; Maastricht; art. 1.3.1.b. invloed; BZK
Vereniging Agrarisch Natuur- en Landschapsbeheer Rijn & Gouwe Wiericke; Bodegraven; art. 1.3.1.c. subsidie; BZK
Vereniging Agrarisch natuur- en landschapsbeheer Water, Land en Dijken; Purmerend; art. 1.3.1.c. subsidie; BZK
Vereniging Agrarisch Natuurbeheer Hollands Noorden; Aartswoud; art. 1.3.1.c. subsidie; BZK
Vereniging Dorp, Stad en Land; Rotterdam; art. 1.3.1.b. invloed; BZK
Vereniging It Fryske Gea; Olterterp; art. 1.3.1.b. invloed; BZK
Vereniging Regiment Infanterie Oranje Gelderland; Havelte; art. 1.3.1.b. invloed; Defensie
Vereniging van Bos- en Natuurterreineigenaren (VBNE); Driebergen-Rijsenburg; art. 1.3.1.b. invloed; BZK
Vereniging van Brabantse Gemeenten; Heesch; art. 1.3.1.b. invloed; BZK
Vereniging van Drentse Gemeenten; Hoogeveen; art. 1.3.1.b. invloed; BZK
Vereniging van Friese Gemeenten,tevens Afdeling van de Vereniging van stim; Leeuwarden; art. 1.3.1.b. invloed; BZK
Vereniging van Gelderse Gemeenten, tevens Afdeling Gelderland van de Vereniging van Nederlandse Gemeenten; Mook; art. 1.3.1.b. invloed; BZK
Vereniging van Gemeenten Aandeelhouders in Limburg binnen Enexis Holding N.V. cum annexis; Echt; art. 1.3.1.b. invloed; BZK
Vereniging van Gemeenten Aandeelhouders in Noord Nederland binnen Enexis Holding N.V. cum annexis; Ten Boer; art. 1.3.1.b. invloed; BZK
Vereniging van Groninger Gemeenten; Ten Boer; art. 1.3.1.b. invloed; BZK
Vereniging van Limburgse gemeenten; Den Haag; art. 1.3.1.b. invloed; BZK
Vereniging van Nederlandse Gemeenten; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Vereniging van Noordhollandse Gemeenten; Bussum; art. 1.3.1.b. invloed; BZK
Vereniging van Veteranen en Postactieven van het Regiment Verbindingstroepen; Ede; art. 1.3.1.b. invloed; Defensie
Vereniging van Waddenzeegemeenten; Delfzijl; art. 1.3.1.b. invloed; BZK
Vereniging van Zeeuwse Gemeenten; Middelburg; art. 1.3.1.b. invloed; BZK
Vereniging van Zuidhollandse Gemeenten; Capelle aan den Ijssel; art. 1.3.1.b. invloed; BZK
Vereniging werken voor waterschappen; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Vereniging Wigo4it; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Vereniging Zuid-Hollandse Waterschappen; Delft; art. 1.3.1.b. invloed; BZK
Vervoerscentrale Stedendriehoek; Lochem; art. 1.2.1.h. WGR; BZK
Vitens N.V.; Zwolle; bijlagen WNT; IenW
VNG International; Den Haag; bijlagen WNT; BZ
Volkskredietbank Noord-Oost Groningen; Appingedam; art. 1.2.1.h. WGR; BZK
Vuilafvoerbedrijf Duin- en Bollenstreek; Voorhout; art. 1.2.1.h. WGR; BZK
Vuilverbrandingsinstallatie Alkmaar en Omstreken (VVI); Alkmaar; art. 1.2.1.h. WGR; BZK
Vuilverwerkingsbedrijf Noord-Groningen; Usquert; art. 1.2.1.h. WGR; BZK
WaarborgHolland B.V.; Gouda; art. 1.3.1.a. openbaar gezag; EZK
Waarderingskamer; 's-Gravenhage; art. 1.2.1.h. ZBO; Financiën
Waddenfonds; Leeuwarden; art. 1.2.1.h. WGR; BZK
Waterlands Archief; Purmerend; art. 1.2.1.h. WGR; BZK
Waterschap Aa en Maas; 's-Hertogenbosch; art. 1.2.1.d. waterschappen; BZK
Waterschap Amstel, Gooi en Vecht; Amsterdam; art. 1.2.1.d. waterschappen; BZK
Waterschap Brabantse Delta; Breda; art. 1.2.1.d. waterschappen; BZK
Waterschap De Dommel; Boxtel; art. 1.2.1.d. waterschappen; BZK
Waterschap Drents Overijsselse Delta; Zwolle; art. 1.2.1.d. waterschappen; BZK
Waterschap Hollandse Delta; Ridderkerk; art. 1.2.1.d. waterschappen; BZK
waterschap Hoogheemraadschap De Stichtse Rijnlanden; Houten; art. 1.2.1.d. waterschappen; BZK
Waterschap Hunze en Aa's; Veendam; art. 1.2.1.d. waterschappen; BZK
Waterschap Limburg; Roermond; art. 1.2.1.d. waterschappen; BZK
Waterschap Noorderzijlvest; Groningen; art. 1.2.1.d. waterschappen; BZK
Waterschap Rijn en IJssel; Doetinchem; art. 1.2.1.d. waterschappen; BZK
Waterschap Rivierenland; Tiel; art. 1.2.1.d. waterschappen; BZK
Waterschap Scheldestromen; Middelburg; art. 1.2.1.d. waterschappen; BZK
Waterschap Vallei en Veluwe; Apeldoorn; art. 1.2.1.d. waterschappen; BZK
Waterschap Vechtstromen; Almelo; art. 1.2.1.d. waterschappen; BZK
Waterschap Zuiderzeeland; Lelystad; art. 1.2.1.d. waterschappen; BZK
Wedeka Bedrijven; Stadskanaal; art. 1.2.1.h. WGR; BZK
Wegschap Tunnel Dordtse Kil; Dordrecht; art. 1.2.1.h. WGR; BZK
Werkbedrijf Atlant De Peel; Helmond; art. 1.2.1.h. WGR; BZK
Werkcorporatie Noordoostpolder B.V.; Emmeloord; art. 1.3.1.c. subsidie; BZK
Werkgeversservicepunt Parkstad; Heerlen; art. 1.2.1.h. WGR; BZK
Werkmaatschappij 8KTD; Burgum; art. 1.2.1.h. WGR; BZK
Werkom; Purmerend; art. 1.2.1.h. WGR; BZK
Werkorganisatie BUCH; Uitgeest; art. 1.2.1.h. WGR; BZK
Werkorganisatie Druten-Wijchen; Wijchen; art. 1.2.1.h. WGR; BZK
Werkorganisatie Duivenvoorde; Wassenaar; art. 1.2.1.h. WGR; BZK
Werkorganisatie gemeenten Cuijk, Grave, Mill en Sint Hubert; Cuijk; art. 1.2.1.h. WGR; BZK
Werkorganisatie gemeenten Pekela en Veendam; Veendam; art. 1.2.1.h. WGR; BZK
Werkorganisatie HLT Samen; Hillegom; art. 1.2.1.h. WGR; BZK
Werkorganisatie Langedijk en Heerhugowaard; Heerhugowaard; art. 1.2.1.h. WGR; BZK
Werkplein Drentsche Aa; Assen; art. 1.2.1.h. WGR; BZK
Werkplein Fivelingo; Appingedam; art. 1.2.1.h. WGR; BZK
WerkSaam Westfriesland; Hoorn; art. 1.2.1.h. WGR; BZK
Werkvoorziening Midden-Gelderland; Arnhem; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Aanvullende Arbeid Venlo en omstreken (e.o.); Venlo; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Fryslân West; Sneek; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Noordoost-Brabant; Oss; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Novatec; Tolbert; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Oostelijk Zuid Limburg; Heerlen; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Reestmond; Meppel; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Tomingroep; Hilversum; art. 1.2.1.h. WGR; BZK
Werkvoorzieningschap Weert en Omstreken, de Risse; Weert; art. 1.2.1.h. WGR; BZK
Werkvoorzieningsschap Noord Kennemerland; Alkmaar; art. 1.2.1.h. WGR; BZK
Werkvoorzieningsschap Noord-Limburg West; Venray; art. 1.2.1.h. WGR; BZK
Werkvoorzieningsschap Zuid Kennemerland; Cruquius; art. 1.2.1.h. WGR; BZK
Werkzaak Rivierenland; Geldermalsen; art. 1.2.1.h. WGR; BZK
West-Brabants Archief; Bergen op Zoom; art. 1.2.1.h. WGR; BZK
Westfries Archief; Hoorn; art. 1.2.1.h. WGR; BZK
Westland Infra Netbeheer B.V.; Poeldijk; bijlagen WNT; EZK
Wetterskip Fryslân; Leeuwarden; art. 1.2.1.d. waterschappen; BZK
WGR regio Stedendriehoek; Twello; art. 1.2.1.h. WGR; BZK
WSD; Boxtel; art. 1.2.1.h. WGR; BZK
Zeeuws Archief; Middelburg; art. 1.2.1.h. WGR; BZK
Zeeuwse Museumstichting; Middelburg; art. 1.3.1.c. subsidie; BZK
Zeeuwse Muziekschool; Middelburg; art. 1.2.1.h. WGR; BZK
ZINiN Nijverdal; Nijverdal; art. 1.3.1.c. subsidie; BZK
Zuidelijke Rekenkamer; Eindhoven; art. 1.2.1.h. WGR; BZK
